layer,params,flops,weights_memory
-----,------,-----,--------------
Embedding,163840000,0,327680000
Linear,26214400,52428800,52428800
Linear,26214400,52428800,52428800
Linear,26214400,52428800,52428800
Linear,26214400,52428800,52428800
LlamaRotaryEmbedding,0,0,0
Linear,70778880,141557760,141557760
Linear,70778880,141557760,141557760
Linear,70778880,141557760,141557760
LlamaRMSNorm,5120,20480,10240
LlamaRMSNorm,5120,20480,10240
LlamaRMSNorm,5120,20480,10240
Linear,163840000,327680000,327680000

prompt_memory,token_gen_memory
-------------,----------------
26850928640,27670128640
